_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,audience,audience:confidence,bias,bias:confidence,message,message:confidence,orig__golden,audience_gold,bias_gold,bioid,embed,id,label,message_gold,source,text
766192484,FALSE,finalized,1,8/4/15 21:17,national,1,partisan,1,policy,1,,,,R000596,"<blockquote class=""twitter-tweet"" width=""450""><p>RT @nowthisnews: Rep. Trey Radel (R- #FL) slams #Obamacare. #politics https://t.co/zvywMG8yIH</p> Trey Radel (@treyradel) <a href='https://twitter.com/treyradel/status/383249240333361152'>2013-09-26 11:18:33</a></blockquote>",3.83249E+17,From: Trey Radel (Representative from Florida),,twitter,RT @nowthisnews: Rep. Trey Radel (R- #FL) slams #Obamacare. #politics https://t.co/zvywMG8yIH
766192485,FALSE,finalized,1,8/4/15 21:20,national,1,partisan,1,attack,1,,,,M000355,"<blockquote class=""twitter-tweet"" width=""450""><p>VIDEO - #Obamacare:  Full of Higher Costs and Broken Promises: http://t.co/dn3vzqIrWF</p> Sen. McConnell Press (@McConnellPress) <a href='https://twitter.com/McConnellPress/status/311208340904624128'>2013-03-11 16:13:45</a></blockquote>",3.11208E+17,From: Mitch McConnell (Senator from Kentucky),,twitter,VIDEO - #Obamacare:  Full of Higher Costs and Broken Promises: http://t.co/dn3vzqIrWF
766192486,FALSE,finalized,1,8/4/15 21:14,national,1,neutral,1,support,1,,,,S001180,"<blockquote class=""twitter-tweet"" width=""450""><p>Please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices.</p> Rep. Kurt Schrader (@RepSchrader) <a href='https://twitter.com/RepSchrader/status/339069032340799489'>2013-05-27 13:22:11</a></blockquote>",3.39069E+17,From: Kurt Schrader (Representative from Oregon),,twitter,Please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices.
766192487,FALSE,finalized,1,8/4/15 21:08,national,1,neutral,1,policy,1,,,,C000880,"<blockquote class=""twitter-tweet"" width=""450""><p>RT @SenatorLeahy: 1st step toward Senate debate on Leahy-Crapo #VAWA bill is the Senateâ€™s procedural vote today at 5:30 pm</p> Senator Mike Crapo (@MikeCrapo) <a href='https://twitter.com/MikeCrapo/status/298528023953678336'>2013-02-04 15:26:41</a></blockquote>",2.98528E+17,From: Michael Crapo (Senator from Idaho),,twitter,RT @SenatorLeahy: 1st step toward Senate debate on Leahy-Crapo #VAWA bill is the Senateâ€™s procedural vote today at 5:30 pm
766192488,FALSE,finalized,1,8/4/15 21:26,national,1,partisan,1,policy,1,,,,U000038,"<blockquote class=""twitter-tweet"" width=""450""><p>.@amazon delivery #drones show need to update law to promote #innovation &amp; protect #privacy. My #UAS bill does that: http://t.co/l9ta5SKq6u</p> Mark Udall (@MarkUdall) <a href='https://twitter.com/MarkUdall/status/407642791225724929'>2013-12-02 17:49:49</a></blockquote>",4.07643E+17,From: Mark Udall (Senator from Colorado),,twitter,.@amazon delivery #drones show need to update law to promote #innovation &amp; protect #privacy. My #UAS bill does that: http://t.co/l9ta5SKq6u
766192489,FALSE,finalized,2,8/4/15 21:06,national,1,partisan,0.5216,information,1,,,,H001069,"<blockquote class=""twitter-tweet"" width=""450""><p>Called on the @USDOTFRA to release info about inspections before the #CasseltonDerailment to review quality of rails. (1/2)</p> Sen. Heidi Heitkamp (@SenatorHeitkamp) <a href='https://twitter.com/SenatorHeitkamp/status/421029732591751168'>2014-01-08 16:24:45</a></blockquote>",4.2103E+17,From: Heidi Heitkamp (Senator from North Dakota),,twitter,Called on the @USDOTFRA to release info about inspections before the #CasseltonDerailment to review quality of rails. (1/2)
766192490,FALSE,finalized,1,8/4/15 21:07,national,1,neutral,1,mobilization,1,,,,W000808,"<blockquote class=""twitter-tweet"" width=""450""><p>@BBCWorld, help us keep the kidnapped Nigerian school girls' story out front. #BringBackOurGirls #JoinRepWilson http://t.co/ZqZVT80mga</p> Frederica Wilson (@RepWilson) <a href='https://twitter.com/RepWilson/status/489407411396964353'>2014-07-16 09:53:14</a></blockquote>",4.89407E+17,From: Frederica Wilson (Representative from Florida),,twitter,"@BBCWorld, help us keep the kidnapped Nigerian school girls' story out front. #BringBackOurGirls #JoinRepWilson http://t.co/ZqZVT80mga"
766192491,FALSE,finalized,1,8/4/15 20:51,constituency,1,neutral,1,mobilization,1,,,,B001279,"<blockquote class=""twitter-tweet"" width=""450""><p>Show your Arizona pride-choose your favorite S. AZ picture for my Facebook cover photo! Retweet to spread the word! https://t.co/7PHHigA8nd</p> RepRonBarber (@RepRonBarber) <a href='https://twitter.com/RepRonBarber/status/327181500632154112'>2013-04-24 18:05:23</a></blockquote>",3.27182E+17,From: Ron Barber (Representative from Arizona),,twitter,Show your Arizona pride-choose your favorite S. AZ picture for my Facebook cover photo! Retweet to spread the word! https://t.co/7PHHigA8nd
766192492,FALSE,finalized,1,8/4/15 20:57,national,1,neutral,1,personal,1,,,,F000459,"<blockquote class=""twitter-tweet"" width=""450""><p>What a wonderful night at State Senator Ken Yagerâ€™s Chili Supper benefitting the Boys &amp; Girls Clubs of Roane County. http://t.co/DsyoAFZvkR</p> Chuck Fleischmann (@RepChuck) <a href='https://twitter.com/RepChuck/status/537291559235235840'>2014-11-25 12:07:44</a></blockquote>",5.37292E+17,From: Chuck Fleischmann (Representative from Tennessee),,twitter,What a wonderful night at State Senator Ken Yagerâ€™s Chili Supper benefitting the Boys &amp; Girls Clubs of Roane County. http://t.co/DsyoAFZvkR
766192493,FALSE,finalized,2,8/4/15 21:14,national,1,partisan,1,support,1,,,,H000874,"<blockquote class=""twitter-tweet"" width=""450""><p>Great op-ed by Pres. Clinton about signing #FMLA 20 yrs ago today, an important law protecting workers http://t.co/csYEv7O4 #HoyerHeadlines</p> Steny Hoyer (@WhipHoyer) <a href='https://twitter.com/WhipHoyer/status/298815200201682944'>2013-02-05 10:27:50</a></blockquote>",2.98815E+17,From: Steny Hoyer (Representative from Maryland),,twitter,"Great op-ed by Pres. Clinton about signing #FMLA 20 yrs ago today, an important law protecting workers http://t.co/csYEv7O4 #HoyerHeadlines"
